DATE OF PACKING,EXPIRY DATE,AVERAGE WEIGHT (g),Positive Percentage,Negative Percentage
2024-07-30,2024-08-25,586.0,96.875,3.125
2024-07-30,2024-08-28,581.5,56.25,37.5
2024-07-30,2024-08-28,589.625,100.0,0.0
2024-07-30,2024-08-28,584.75,81.25,18.75
2024-07-31,2024-08-28,580.313,40.625,50.0
2024-07-31,2024-08-30,580.25,46.875,43.75
2024-08-01,2024-08-30,588.844,100.0,0.0
2024-08-01,2024-08-30,584.594,84.375,9.375
2024-08-01,2024-08-30,585.438,93.75,6.25
2024-08-05,2024-09-01,584.531,84.375,15.625
2024-08-05,2024-09-01,579.844,43.75,43.75
2024-08-06,2024-09-04,581.594,56.25,34.375
2024-08-06,2024-09-01,583.969,78.125,18.75
2024-08-07,2024-09-04,578.438,34.375,59.375
2024-08-07,2024-09-05,584.594,81.25,12.5
2024-08-09,2024-09-06,583.156,81.25,12.5
2024-08-09,2024-09-07,584.75,96.875,3.125
2024-08-09,2024-09-07,580.156,46.875,40.625
2024-08-09,2024-09-07,579.656,46.875,40.625
2024-08-09,2024-09-07,593.813,87.5,9.375
2024-08-12,2024-09-08,582.375,68.75,25.0
2024-08-13,2024-09-08,583.313,75.0,21.875
2024-08-13,2024-09-11,583.375,62.5,25.0
2024-08-13,2024-09-11,586.031,93.75,6.25
2024-08-13,2024-09-11,588.031,96.875,3.125
2024-08-14,2024-09-13,580.813,50.0,46.875
2024-08-15,2024-09-13,587.313,93.75,0.0
2024-08-16,2024-09-13,584.625,84.375,9.375
2024-08-19,2024-09-15,581.75,65.625,21.875
2024-08-19,2024-09-14,584.469,78.125,9.375
2024-08-19,2024-09-18,576.563,28.125,65.625
2024-08-20,2024-09-18,583.563,81.25,15.625
2024-08-20,2024-09-18,585.313,93.75,0.0
2024-08-21,2024-09-19,583.75,71.875,15.625
2024-08-22,2024-09-20,582.75,75.0,18.75
2024-08-23,2024-09-20,585.656,90.625,3.125
2024-08-23,2024-09-21,581.5,56.25,28.125
2024-08-23,2024-09-21,575.406,18.75,75.0
2024-08-26,2024-09-21,588.094,90.625,3.125
2024-08-27,2024-09-25,587.781,87.5,9.375
2024-08-28,2024-09-26,585.875,100.0,0.0
2024-08-29,2024-09-26,581.031,59.375,28.125
2024-08-29,2024-09-27,584.781,81.25,18.75
2024-08-29,2024-09-27,583.594,71.875,12.5
2024-08-30,2024-09-28,585.125,96.875,0.0
2024-09-02,2024-09-28,584.656,96.875,0.0
2024-09-02,2024-09-27,583.844,93.75,3.125
2024-09-03,2024-09-29,588.563,90.625,3.125
2024-09-03,2024-10-02,587.906,100.0,0.0
2024-09-03,2024-10-02,584.844,93.75,0.0
2024-09-04,2024-10-02,580.781,53.125,43.75
2024-09-04,2024-10-04,583.625,90.625,3.125
2024-09-04,2024-10-04,586.281,100.0,0.0
2024-09-04,2024-10-03,586.125,93.75,6.25
2024-09-09,2024-10-04,584.688,100.0,0.0
2024-09-09,2024-10-05,580.063,50.0,37.5
2024-09-09,2024-01-06,586.688,100.0,0.0
2024-09-09,2024-10-06,587.156,84.375,9.375
2024-09-11,2024-10-10,590.5,96.875,3.125
2024-09-11,2024-10-10,582.469,50.0,37.5
2024-09-12,2024-10-12,584.594,87.5,6.25
